Country or Area,Year,Value,Value Footnotes,Unit
Albania,2015,5339,,million cubic metres
Albania,2014,4428,,million cubic metres
Albania,2013,4883.5,,million cubic metres
Algeria,2015,66.8000030517578,1,million cubic metres
Algeria,2014,66.8000030517578,1,million cubic metres
Algeria,2013,66.8000030517578,1,million cubic metres
Algeria,2012,307,,million cubic metres
Algeria,2011,307,,million cubic metres
Algeria,2010,307,,million cubic metres
Algeria,2009,307,,million cubic metres
Algeria,2008,307,,million cubic metres
Algeria,2007,307,,million cubic metres
Algeria,2006,307,,million cubic metres
Algeria,2005,276,,million cubic metres
Algeria,2004,276,,million cubic metres
Algeria,2003,276,,million cubic metres
Algeria,2002,245,,million cubic metres
Algeria,2001,245,,million cubic metres
Algeria,2000,50,,million cubic metres
Andorra,2015,25.4182987213135,2,million cubic metres
Andorra,2014,33.4506187438965,2,million cubic metres
Andorra,2013,31.7313613891602,2,million cubic metres
Andorra,2012,20.1000862121582,2,million cubic metres
Andorra,2011,16.4421672821045,,million cubic metres
Andorra,2010,26.3281154632568,,million cubic metres
Andorra,2009,27.0110149383545,,million cubic metres
Andorra,2008,29.9315719604492,,million cubic metres
Andorra,2007,12.7984552383423,,million cubic metres
Andorra,2006,15.8719787597656,,million cubic metres
Andorra,2005,18.9739017486572,,million cubic metres
Andorra,2004,18.5763320922852,,million cubic metres
Andorra,2003,28.3363037109375,,million cubic metres
Andorra,2002,33.1775093078613,,million cubic metres
Andorra,2001,24.4725971221924,,million cubic metres
Andorra,2000,30.2006359100342,,million cubic metres
Andorra,1999,29.8798599243164,,million cubic metres
Andorra,1998,18.3709812164307,,million cubic metres
Andorra,1997,25.4711570739746,,million cubic metres
Andorra,1996,44.85888671875,,million cubic metres
Andorra,1995,24.5185680389404,,million cubic metres
Andorra,1990,28.7371959686279,,million cubic metres
Armenia,2015,763,,million cubic metres
Armenia,2014,471,,million cubic metres
Armenia,2013,842,,million cubic metres
Armenia,2012,641,,million cubic metres
Armenia,2011,773,,million cubic metres
Armenia,2010,1783,,million cubic metres
Armenia,2009,1294,,million cubic metres
Armenia,2008,901,,million cubic metres
Armenia,2007,1513,,million cubic metres
Armenia,2006,1157,,million cubic metres
Armenia,2005,1063,,million cubic metres
Armenia,2004,1546,,million cubic metres
Armenia,2003,1086,,million cubic metres
Armenia,2002,1062,,million cubic metres
Armenia,2001,557,,million cubic metres
Armenia,2000,641,,million cubic metres
Armenia,1995,1189,,million cubic metres
Azerbaijan,2015,14217,,million cubic metres
Azerbaijan,2014,13967,,million cubic metres
Azerbaijan,2013,14340,,million cubic metres
Azerbaijan,2012,15565,,million cubic metres
Azerbaijan,2011,20263,,million cubic metres
Azerbaijan,2010,23132,,million cubic metres
Azerbaijan,2009,16806,,million cubic metres
Azerbaijan,2008,16687,,million cubic metres
Azerbaijan,2007,21385.5,,million cubic metres
Azerbaijan,2006,24687.5,,million cubic metres
Azerbaijan,2005,19566.19921875,,million cubic metres
Azerbaijan,2004,22556.400390625,,million cubic metres
Azerbaijan,2003,24072.099609375,,million cubic metres
Azerbaijan,2002,22201.900390625,,million cubic metres
Azerbaijan,2001,18506.80078125,,million cubic metres
Azerbaijan,2000,18773.19921875,,million cubic metres
Azerbaijan,1999,18948.599609375,,million cubic metres
Azerbaijan,1998,11752.5,3,million cubic metres
Azerbaijan,1997,11925.400390625,3,million cubic metres
Azerbaijan,1996,7863.7998046875,3,million cubic metres
Azerbaijan,1995,19792.099609375,,million cubic metres
Azerbaijan,1990,17895.900390625,,million cubic metres
Bahrain,1990,112,,million cubic metres
Bangladesh,2015,1145000,,million cubic metres
Bangladesh,2014,1187102,,million cubic metres
Bangladesh,2013,1303778,,million cubic metres
Bangladesh,2012,944239,,million cubic metres
Bangladesh,2011,786620.3125,,million cubic metres
Bangladesh,2010,1031774,,million cubic metres
Bangladesh,2009,907241,,million cubic metres
Bangladesh,2008,1128249,,million cubic metres
Bangladesh,2007,1000922,,million cubic metres
Bangladesh,2006,1073899.25,,million cubic metres
Bangladesh,2005,925951,,million cubic metres
Bangladesh,2004,1145326,,million cubic metres
Bangladesh,1990,1427332.375,,million cubic metres
Belarus,2009,23100,,million cubic metres
Belarus,2008,23400,,million cubic metres
Belarus,2007,22300,,million cubic metres
Belarus,2006,26800,,million cubic metres
Belarus,2005,24800,,million cubic metres
Belarus,2004,23100,4,million cubic metres
Belarus,2003,19600,4,million cubic metres
Belarus,2002,19500,4,million cubic metres
Belarus,2001,24500,4,million cubic metres
Belarus,2000,27600,4,million cubic metres
Belarus,1999,29100,4,million cubic metres
Belarus,1998,36800,,million cubic metres
Belarus,1997,19700,,million cubic metres
Belarus,1996,17300,,million cubic metres
Belarus,1995,22700,4,million cubic metres
Belarus,1990,30200,4,million cubic metres
Belgium,2014,15475,5,million cubic metres
Belgium,2013,19078,5,million cubic metres
Belgium,2012,17907,5,million cubic metres
Belgium,2011,12677,5,million cubic metres
Belgium,2010,15245,5,million cubic metres
Bosnia and Herzegovina,2015,2000,,million cubic metres
Bosnia and Herzegovina,2014,2000,,million cubic metres
Bosnia and Herzegovina,2013,2000,,million cubic metres
Bosnia and Herzegovina,2012,2000,,million cubic metres
Bosnia and Herzegovina,2011,2000,,million cubic metres
Bosnia and Herzegovina,2010,2000,,million cubic metres
Bosnia and Herzegovina,2009,2000,,million cubic metres
Bosnia and Herzegovina,2008,2000,,million cubic metres
Bosnia and Herzegovina,2007,2000,,million cubic metres
Bosnia and Herzegovina,2006,2000,,million cubic metres
Bosnia and Herzegovina,2005,2000,,million cubic metres
Bosnia and Herzegovina,2004,2000,,million cubic metres
Bosnia and Herzegovina,2003,2000,,million cubic metres
Bosnia and Herzegovina,2002,2000,,million cubic metres
Bosnia and Herzegovina,2001,2000,,million cubic metres
Bosnia and Herzegovina,2000,2000,,million cubic metres
Botswana,2012,7.30000019073486,,million cubic metres
Botswana,1999,18,"6,7",million cubic metres
Botswana,1998,6741,"8,7",million cubic metres
Botswana,1997,51,"8,7",million cubic metres
Botswana,1996,6001,"8,7",million cubic metres
Botswana,1995,6047,"8,7",million cubic metres
Botswana,1990,7591,"8,7",million cubic metres
Brazil,2013,2606371,,million cubic metres
Brazil,2012,2674822,,million cubic metres
Brazil,2011,2371226,,million cubic metres
Brazil,2010,2354976,,million cubic metres
Brazil,2009,2688737,,million cubic metres
Brazil,2008,2526475,,million cubic metres
Brazil,2007,2531389,,million cubic metres
Brazil,2006,2412020,,million cubic metres
Brazil,2005,2216103,,million cubic metres
Brazil,2004,2446144,,million cubic metres
Brazil,2003,2588407,,million cubic metres
Brazil,2002,2692215,,million cubic metres
Brazil,2001,2510856,,million cubic metres
Bulgaria,2015,75961,,million cubic metres
Bulgaria,2014,93910,,million cubic metres
Bulgaria,2013,93475,,million cubic metres
Bulgaria,2012,67259,,million cubic metres
Cabo Verde,2015,0,,million cubic metres
Cabo Verde,2014,0,,million cubic metres
Cabo Verde,2013,0,,million cubic metres
Cabo Verde,2012,0,,million cubic metres
Cabo Verde,2011,0,,million cubic metres
Cabo Verde,2010,0,,million cubic metres
Cabo Verde,2009,0,,million cubic metres
Cabo Verde,2008,0,,million cubic metres
Cabo Verde,2007,0,,million cubic metres
Cabo Verde,2006,0,,million cubic metres
Cabo Verde,2005,0,,million cubic metres
Cabo Verde,2004,0,,million cubic metres
Cabo Verde,2003,0,,million cubic metres
Cabo Verde,2002,0,,million cubic metres
Cabo Verde,2001,0,,million cubic metres
Cabo Verde,2000,0,,million cubic metres
Cabo Verde,1999,0,,million cubic metres
Cabo Verde,1998,0,,million cubic metres
Cabo Verde,1997,0,,million cubic metres
Cabo Verde,1996,0,,million cubic metres
Cabo Verde,1995,0,,million cubic metres
Cabo Verde,1990,0,,million cubic metres
Cayman Islands,2015,0,,million cubic metres
Cayman Islands,2014,0,,million cubic metres
Cayman Islands,2013,0,,million cubic metres
Cayman Islands,2012,0,,million cubic metres
Cayman Islands,2011,0,,million cubic metres
Cayman Islands,2010,0,,million cubic metres
Cayman Islands,2009,0,,million cubic metres
Cayman Islands,2008,0,,million cubic metres
Cayman Islands,2007,0,,million cubic metres
Cayman Islands,2006,0,,million cubic metres
Cayman Islands,2005,0,,million cubic metres
Cayman Islands,2004,0,,million cubic metres
Costa Rica,2015,0,,million cubic metres
Costa Rica,2014,0,,million cubic metres
Costa Rica,2013,0,,million cubic metres
Costa Rica,2012,0,,million cubic metres
Costa Rica,2011,0,,million cubic metres
Costa Rica,2010,0,,million cubic metres
Costa Rica,2009,0,,million cubic metres
Costa Rica,2008,0,,million cubic metres
Costa Rica,2007,0,,million cubic metres
Costa Rica,2006,0,,million cubic metres
Costa Rica,2005,0,,million cubic metres
Costa Rica,2004,0,,million cubic metres
Costa Rica,2003,0,,million cubic metres
Costa Rica,2002,0,,million cubic metres
Costa Rica,2001,0,,million cubic metres
Croatia,2015,91990,,million cubic metres
Croatia,2014,113750,,million cubic metres
Croatia,2013,123400,,million cubic metres
Croatia,2012,100495,,million cubic metres
Croatia,2011,85580,,million cubic metres
Cyprus,2015,0,,million cubic metres
Cyprus,2014,0,,million cubic metres
Cyprus,2013,0,,million cubic metres
Cyprus,2012,0,,million cubic metres
Cyprus,2011,0,,million cubic metres
Cyprus,2010,0,,million cubic metres
Cyprus,2009,0,,million cubic metres
Cyprus,2008,0,,million cubic metres
Cyprus,2007,0,,million cubic metres
Cyprus,2006,0,,million cubic metres
Cyprus,2005,0,,million cubic metres
Cyprus,2004,0,,million cubic metres
Cyprus,2003,0,,million cubic metres
Cyprus,2002,0,,million cubic metres
Cyprus,2001,0,,million cubic metres
Cyprus,2000,0,,million cubic metres
Cyprus,1999,0,,million cubic metres
Cyprus,1998,0,,million cubic metres
Cyprus,1997,0,,million cubic metres
Cyprus,1996,0,,million cubic metres
Cyprus,1995,0,,million cubic metres
Cyprus,1994,0,,million cubic metres
Cyprus,1993,0,,million cubic metres
Cyprus,1992,0,,million cubic metres
Cyprus,1991,0,,million cubic metres
Cyprus,1990,0,,million cubic metres
Czechia,2015,398,5,million cubic metres
Czechia,2014,388,5,million cubic metres
Czechia,2013,845,5,million cubic metres
Czechia,2012,492,5,million cubic metres
Czechia,2011,480,5,million cubic metres
Czechia,2010,769,,million cubic metres
Czechia,2009,713,,million cubic metres
Czechia,2008,485,,million cubic metres
Czechia,2007,637,,million cubic metres
Czechia,2006,1070,,million cubic metres
Czechia,2005,781,,million cubic metres
Czechia,2004,640,,million cubic metres
Czechia,2003,524,,million cubic metres
Czechia,2002,1341,,million cubic metres
Czechia,2001,617,,million cubic metres
Czechia,2000,573,,million cubic metres
Czechia,1999,550,,million cubic metres
Czechia,1998,541,,million cubic metres
Czechia,1997,653,,million cubic metres
Czechia,1996,825,,million cubic metres
Czechia,1995,645,,million cubic metres
Czechia,1994,553,,million cubic metres
Czechia,1993,486,,million cubic metres
Czechia,1992,492,,million cubic metres
Czechia,1991,420,,million cubic metres
Czechia,1990,400,,million cubic metres
Denmark,2005,0,5,million cubic metres
Denmark,2004,0,,million cubic metres
Denmark,2003,0,,million cubic metres
Denmark,2002,0,,million cubic metres
Denmark,2001,0,,million cubic metres
Denmark,2000,0,,million cubic metres
Dominica,2005,0,,million cubic metres
Dominica,2004,0,,million cubic metres
Dominica,2003,0,,million cubic metres
Dominica,2002,0,,million cubic metres
Dominica,2001,0,,million cubic metres
Dominica,2000,0,,million cubic metres
Dominica,1999,0,,million cubic metres
Dominica,1995,0,,million cubic metres
Dominica,1990,0,,million cubic metres
Ecuador,2008,0,,million cubic metres
Ecuador,2007,0,,million cubic metres
Ecuador,2006,0,,million cubic metres
Ecuador,2005,0,,million cubic metres
Ecuador,2004,0,,million cubic metres
Ecuador,2003,0,,million cubic metres
Ecuador,2002,0,,million cubic metres
Ecuador,2001,0,,million cubic metres
Ecuador,2000,0,,million cubic metres
Ecuador,1999,0,,million cubic metres
Ecuador,1998,0,,million cubic metres
Ecuador,1997,0,,million cubic metres
Ecuador,1996,0,,million cubic metres
Ecuador,1995,0,,million cubic metres
Ecuador,1990,0,,million cubic metres
Egypt,2015,55500,,million cubic metres
Egypt,2012,50085,,million cubic metres
Egypt,2011,63289,,million cubic metres
Egypt,2010,42122,,million cubic metres
Egypt,2009,55130,,million cubic metres
Egypt,2008,75929,,million cubic metres
Egypt,2007,83501,,million cubic metres
Egypt,2006,68204,,million cubic metres
Egypt,2005,53692,,million cubic metres
Egypt,2004,44709,,million cubic metres
Egypt,2003,58232,,million cubic metres
Egypt,1996,54889,,million cubic metres
Egypt,1995,55671,,million cubic metres
Egypt,1990,54733,,million cubic metres
Estonia,2013,10601,,million cubic metres
Estonia,2012,9561,,million cubic metres
Estonia,1999,10739,,million cubic metres
Estonia,1998,11640,,million cubic metres
Estonia,1997,8106,,million cubic metres
Estonia,1996,5335,,million cubic metres
Estonia,1994,100,,million cubic metres
Estonia,1993,80,,million cubic metres
Estonia,1992,100,,million cubic metres
Finland,2013,3835,,million cubic metres
Finland,2012,5754,,million cubic metres
Finland,2011,3484,,million cubic metres
Finland,2010,3829,,million cubic metres
Finland,2009,3990,,million cubic metres
Finland,2008,5577,,million cubic metres
Finland,2007,3000,,million cubic metres
Finland,2006,3509,,million cubic metres
Finland,2005,4800,,million cubic metres
Finland,2004,7200,,million cubic metres
Finland,2003,4200,,million cubic metres
Finland,2002,3700,,million cubic metres
Finland,2001,3500,,million cubic metres
Finland,2000,4000,,million cubic metres
Finland,1999,3300,,million cubic metres
Finland,1998,4500,,million cubic metres
Finland,1997,3600,,million cubic metres
Finland,1996,3400,,million cubic metres
Finland,1995,4000,,million cubic metres
Finland,1994,3700,,million cubic metres
Finland,1993,3600,,million cubic metres
Finland,1992,3800,,million cubic metres
Finland,1991,3800,,million cubic metres
Finland,1990,2500,,million cubic metres
France,2015,12303.09765625,,million cubic metres
France,2014,12407.6201171875,,million cubic metres
France,2013,15041.7001953125,,million cubic metres
France,2012,13284.599609375,,million cubic metres
France,2011,9452.2998046875,,million cubic metres
France,2010,11760.099609375,,million cubic metres
France,2009,11917.2998046875,,million cubic metres
France,2008,12850.2998046875,,million cubic metres
Gambia,2009,7388.19091796875,,million cubic metres
Gambia,2008,7159.23974609375,,million cubic metres
Gambia,2007,5927.06494140625,,million cubic metres
Gambia,2006,5730.7001953125,,million cubic metres
Gambia,2005,7285,,million cubic metres
Gambia,2004,5709,,million cubic metres
Gambia,2003,6043,,million cubic metres
Gambia,2002,5110,,million cubic metres
Gambia,2001,7000,,million cubic metres
Gambia,2000,7000,,million cubic metres
Gambia,1999,7000,,million cubic metres
Gambia,1995,6255,,million cubic metres
Gambia,1990,5110,,million cubic metres
Georgia,1990,7679,9,million cubic metres
Germany,2015,60000,,million cubic metres
Germany,2014,64000,,million cubic metres
Germany,2013,80000,,million cubic metres
Germany,2012,75000,,million cubic metres
Germany,2011,55000,,million cubic metres
Germany,2010,71000,,million cubic metres
Germany,2009,69000,,million cubic metres
Germany,2008,70000,,million cubic metres
Germany,2007,71000,,million cubic metres
Germany,2006,73000,,million cubic metres
Germany,2005,63000,,million cubic metres
Germany,2004,65000,,million cubic metres
Germany,2003,58000,,million cubic metres
Germany,2002,92000,,million cubic metres
Germany,2001,89000,,million cubic metres
Germany,2000,82000,,million cubic metres
Germany,1999,86000,,million cubic metres
Germany,1998,62000,,million cubic metres
Germany,1997,64000,,million cubic metres
Germany,1996,60000,,million cubic metres
Germany,1995,83000,,million cubic metres
Germany,1994,70000,,million cubic metres
Germany,1993,65000,,million cubic metres
Germany,1992,62000,,million cubic metres
Germany,1991,54000,,million cubic metres
Germany,1990,58000,,million cubic metres
Hungary,2015,90860,,million cubic metres
Hungary,2014,102590,,million cubic metres
Hungary,2013,117873,,million cubic metres
Hungary,2012,95644,,million cubic metres
Hungary,2011,90472,,million cubic metres
Hungary,2010,138599,,million cubic metres
Hungary,2009,119526,,million cubic metres
Hungary,2008,105525,,million cubic metres
Hungary,2007,102800,,million cubic metres
Hungary,2006,127956,,million cubic metres
Hungary,2005,121728,,million cubic metres
Hungary,2004,108201,,million cubic metres
Hungary,2003,83461,,million cubic metres
Hungary,2002,126811,,million cubic metres
Hungary,2001,115299,,million cubic metres
Hungary,2000,121973,,million cubic metres
Hungary,1999,129300,,million cubic metres
Hungary,1998,116300,,million cubic metres
Hungary,1997,110400,,million cubic metres
Hungary,1996,110000,,million cubic metres
Hungary,1995,118332,,million cubic metres
Hungary,1994,89226,,million cubic metres
Hungary,1993,93298,,million cubic metres
Hungary,1992,99241,,million cubic metres
Hungary,1991,79216,,million cubic metres
Hungary,1990,91386,,million cubic metres
Iceland,2014,0,,million cubic metres
Iceland,2013,0,,million cubic metres
Iceland,2012,0,,million cubic metres
Iceland,2011,0,,million cubic metres
Iceland,2010,0,,million cubic metres
Iceland,2009,0,,million cubic metres
Iceland,2008,0,,million cubic metres
Iceland,2007,0,,million cubic metres
Iceland,2006,0,,million cubic metres
Iceland,2005,0,,million cubic metres
Iceland,2004,0,,million cubic metres
Iceland,2003,0,,million cubic metres
Iceland,2002,0,,million cubic metres
Iceland,2001,0,,million cubic metres
Iceland,2000,0,,million cubic metres
Iceland,1999,0,,million cubic metres
Iceland,1998,0,,million cubic metres
Iceland,1997,0,,million cubic metres
Iceland,1996,0,,million cubic metres
Iceland,1995,0,,million cubic metres
Iceland,1994,0,,million cubic metres
Iceland,1993,0,,million cubic metres
Iceland,1992,0,,million cubic metres
Iceland,1991,0,,million cubic metres
Iceland,1990,0,,million cubic metres
Iraq,2015,35340,,million cubic metres
Iraq,2014,37250,,million cubic metres
Iraq,2013,56020,,million cubic metres
Iraq,2012,49110,,million cubic metres
Iraq,2011,47570,,million cubic metres
Iraq,2010,50120,,million cubic metres
Iraq,2009,32110,,million cubic metres
Iraq,2008,32700,,million cubic metres
Iraq,2007,56420,,million cubic metres
Iraq,2006,67550,,million cubic metres
Iraq,2005,54650,,million cubic metres
Iraq,2004,64960,,million cubic metres
Iraq,2003,73100,,million cubic metres
Iraq,2002,53600,,million cubic metres
Iraq,2001,30720,,million cubic metres
Iraq,2000,36720,,million cubic metres
Iraq,1999,37410,,million cubic metres
Iraq,1998,78810,,million cubic metres
Iraq,1997,70300,,million cubic metres
Ireland,2015,4240,,million cubic metres
Ireland,2014,4240,,million cubic metres
Ireland,2013,3360,,million cubic metres
Ireland,2012,3561,,million cubic metres
Ireland,2011,4202,,million cubic metres
Ireland,2010,2981,,million cubic metres
Ireland,2009,3848,,million cubic metres
Ireland,2008,3982,,million cubic metres
Ireland,2007,2883,,million cubic metres
Ireland,2006,3296,,million cubic metres
Ireland,2005,3016.30004882813,,million cubic metres
Ireland,2004,2982.69995117188,,million cubic metres
Ireland,2003,2474.60009765625,,million cubic metres
Ireland,2002,4564.60009765625,,million cubic metres
Ireland,2001,2457.89990234375,,million cubic metres
Ireland,2000,4172.7001953125,,million cubic metres
Ireland,1995,3174,,million cubic metres
Ireland,1990,3848,,million cubic metres
Italy,2010,30196.30078125,,million cubic metres
Italy,2009,32611.400390625,,million cubic metres
Italy,2008,22858.5,,million cubic metres
Italy,2007,24076,,million cubic metres
Italy,2006,19763.19921875,,million cubic metres
Italy,2005,17476.19921875,,million cubic metres
Italy,2004,26395.80078125,,million cubic metres
Italy,2003,15802.099609375,,million cubic metres
Italy,2002,23217.400390625,,million cubic metres
Italy,2001,46880.6015625,,million cubic metres
Italy,1990,8000,,million cubic metres
Jamaica,2005,0,,million cubic metres
Jamaica,1990,0,,million cubic metres
Jordan,2015,142,,million cubic metres
Jordan,2014,188,,million cubic metres
Jordan,2013,156.199996948242,,million cubic metres
Jordan,2012,169.899993896484,,million cubic metres
Jordan,2011,195.75,,million cubic metres
Jordan,2010,214.580001831055,,million cubic metres
Jordan,2009,190.777206420898,,million cubic metres
Jordan,2008,195,,million cubic metres
Jordan,2007,180.520004272461,,million cubic metres
Jordan,2006,190.070007324219,,million cubic metres
Jordan,2004,779.5,,million cubic metres
Jordan,2003,734.700012207031,,million cubic metres
Jordan,2002,737.400024414063,,million cubic metres
Jordan,2001,700.599975585938,,million cubic metres
Kazakhstan,2015,39700,,million cubic metres
Kazakhstan,2014,46300,10,million cubic metres
Kazakhstan,2013,46100,10,million cubic metres
Kazakhstan,2012,43500,10,million cubic metres
Kazakhstan,2011,44500,10,million cubic metres
Kazakhstan,2010,66400,10,million cubic metres
Kazakhstan,2009,41800,10,million cubic metres
Kazakhstan,2008,39400,10,million cubic metres
Kazakhstan,2007,52600,10,million cubic metres
Kazakhstan,2006,48100,10,million cubic metres
Kazakhstan,2005,61900,10,million cubic metres
Kazakhstan,2004,60200,10,million cubic metres
Kazakhstan,2003,60000,10,million cubic metres
Kyrgyzstan,2008,0,,million cubic metres
Kyrgyzstan,2007,0,,million cubic metres
Kyrgyzstan,2006,0,,million cubic metres
Kyrgyzstan,2005,0,,million cubic metres
Kyrgyzstan,2004,0,,million cubic metres
Kyrgyzstan,2003,0,,million cubic metres
Kyrgyzstan,2002,0,,million cubic metres
Kyrgyzstan,2001,0,,million cubic metres
Kyrgyzstan,2000,0,,million cubic metres
Kyrgyzstan,1999,0,,million cubic metres
Kyrgyzstan,1998,0,,million cubic metres
Kyrgyzstan,1997,0,,million cubic metres
Kyrgyzstan,1996,0,,million cubic metres
Kyrgyzstan,1995,0,,million cubic metres
Kyrgyzstan,1990,0,,million cubic metres
Latvia,2013,17717,,million cubic metres
Latvia,2012,21259,,million cubic metres
Latvia,2011,17542,,million cubic metres
Latvia,2010,21156,,million cubic metres
Latvia,2009,19984,,million cubic metres
Latvia,2008,17165,,million cubic metres
Latvia,2007,16167,,million cubic metres
Latvia,2006,15476,,million cubic metres
Latvia,2005,18150,,million cubic metres
Latvia,2004,18267,,million cubic metres
Latvia,2003,11809,,million cubic metres
Latvia,2002,15239,,million cubic metres
Latvia,2001,16808,,million cubic metres
Latvia,2000,16742,,million cubic metres
Latvia,1999,19185,,million cubic metres
Latvia,1998,27010,,million cubic metres
Latvia,1997,17840,,million cubic metres
Latvia,1996,12036,,million cubic metres
Latvia,1995,19072,,million cubic metres
Latvia,1994,21250,,million cubic metres
Latvia,1993,17350,,million cubic metres
Latvia,1992,14760,,million cubic metres
Latvia,1991,19740,,million cubic metres
Latvia,1990,27106,,million cubic metres
Lithuania,2015,6630.080078125,,million cubic metres
Lithuania,2014,7689.47998046875,,million cubic metres
Lithuania,2013,10345,,million cubic metres
Lithuania,2012,8013,,million cubic metres
Lithuania,2011,9193,,million cubic metres
Lithuania,2010,11517,,million cubic metres
Lithuania,2009,8734,,million cubic metres
Lithuania,2008,8249,,million cubic metres
Lithuania,2007,8363,,million cubic metres
Lithuania,2006,8925,,million cubic metres
Lithuania,2003,6822,,million cubic metres
Lithuania,2002,7695,,million cubic metres
Lithuania,2001,6813,,million cubic metres
Lithuania,2000,7383,,million cubic metres
Lithuania,1999,9972,,million cubic metres
Lithuania,1998,10046,,million cubic metres
Lithuania,1997,7091,,million cubic metres
Lithuania,1996,8254,,million cubic metres
Lithuania,1995,8481,,million cubic metres
Lithuania,1994,11734,,million cubic metres
Lithuania,1993,8754,,million cubic metres
Lithuania,1992,7196,,million cubic metres
Lithuania,1991,8453,,million cubic metres
Lithuania,1990,9833,,million cubic metres
Luxembourg,1999,694,,million cubic metres
Luxembourg,1995,768,,million cubic metres
Luxembourg,1994,694,,million cubic metres
Luxembourg,1993,803,,million cubic metres
Luxembourg,1992,811,,million cubic metres
Luxembourg,1991,608,,million cubic metres
Luxembourg,1990,798,,million cubic metres
Madagascar,2007,0,,million cubic metres
